交易所,行业代码,股票代码,公司简称,新版一级行业,新版二级行业,新版三级行业
A股,720902,600373.SH,中文传媒,传媒,出版,大众出版
A股,720902,601949.SH,中国出版,传媒,出版,大众出版
A股,720902,601801.SH,皖新传媒,传媒,出版,大众出版
A股,720902,300788.SZ,中信出版,传媒,出版,大众出版
A股,720902,601858.SH,中国科传,传媒,出版,大众出版
A股,720902,000719.SZ,中原传媒,传媒,出版,大众出版
A股,720902,603096.SH,新经典,传媒,出版,大众出版
A股,720902,600825.SH,新华传媒,传媒,出版,大众出版
A股,720902,002181.SZ,粤传媒,传媒,出版,大众出版
A股,720902,601999.SH,出版传媒,传媒,出版,大众出版
A股,720902,300364.SZ,中文在线,传媒,出版,大众出版
A股,720902,600229.SH,城市传媒,传媒,出版,大众出版
A股,720902,000793.SZ,华闻集团,传媒,出版,大众出版
A股,720902,600551.SH,时代出版,传媒,出版,大众出版
A股,720902,603999.SH,读者传媒,传媒,出版,大众出版
A股,720902,301025.SZ,读客文化,传媒,出版,大众出版
A股,720901,601928.SH,凤凰传媒,传媒,出版,教育出版
A股,720901,601098.SH,中南传媒,传媒,出版,教育出版
A股,720901,601019.SH,山东出版,传媒,出版,教育出版
A股,720901,601811.SH,新华文轩,传媒,出版,教育出版
A股,720901,601900.SH,南方传媒,传媒,出版,教育出版
A股,720901,600757.SH,长江传媒,传媒,出版,教育出版
A股,720901,000529.SZ,广弘控股,传媒,出版,教育出版
A股,720901,300654.SZ,世纪天鸿,传媒,出版,教育出版
A股,720901,601921.SH,浙版传媒,传媒,出版,教育出版
A股,721001,600637.SH,东方明珠,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,600959.SH,江苏有线,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,000156.SZ,华数传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,600037.SH,歌华有线,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,300770.SZ,新媒股份,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,000917.SZ,电广传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,601929.SH,吉视传媒,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,002238.SZ,天威视讯,传媒,电视广播Ⅱ,电视广播Ⅲ
A股,721001,600936.SH,广西广电,传媒,电视广播Ⅱ,电视广播Ⅲ
